# NextExplorer — Français (fr). key<TAB>value.
common.cancel	Annuler
offline.downloadingName	Téléchargement de %@
offline.progressCount	%lld sur %lld fichiers
offline.downloadFailed	Le téléchargement hors ligne n'a pas pu être effectué.
offline.selectionTitle	Télécharger pour hors ligne
offline.selectionEmpty	Ce dossier est vide.
offline.selectionLoadFailed	Ce dossier n'a pas pu être chargé.
offline.selectionEstimate	Téléchargement estimé
offline.selectionDownload	Télécharger
offline.selectionInsufficientSpace	Espace libre insuffisant sur cet appareil
offline.resyncRow	Mettre à jour les fichiers hors ligne
offline.badgeAvailable	Disponible hors ligne
offline.manageRow	Gérer les fichiers hors ligne
offline.manageTitle	Fichiers hors ligne
offline.manageEmpty	Rien n'est téléchargé pour une utilisation hors ligne.
offline.preferOfflineToggle	Lire les copies téléchargées
offline.preferOfflineSubtitle	Utiliser une vidéo téléchargée au lieu de la diffuser lorsqu'elle est disponible.
offline.tunnelSpeedNote	Accéder à votre serveur via un tunnel distant peut ralentir les téléchargements. Pour les gros fichiers, connectez-vous au même réseau et utilisez l'adresse locale de votre serveur.
menu.rateApp	Noter NextExplorer…
menu.support	Assistance NextExplorer
settings.sectionSupport	Assistance
settings.rowRateApp	Noter NextExplorer
settings.rowSupport	Aide et assistance
menu.refresh	Actualiser
select.tableView	Vue tableau
openWith.openIn	Ouvrir dans %@
openWith.openWith	Ouvrir avec
openWith.viewAsText	Afficher en texte
openWith.failed	Impossible d’ouvrir ce fichier.
browse.showInFinder	Afficher dans le Finder
browse.actionCut	Couper
browse.clipboardCutOne	%@ prêt à être déplacé
browse.clipboardCutMany	%lld éléments prêts à être déplacés
menu.enclosingFolder	Dossier parent
common.more	Plus
openWith.print	Imprimer…
menu.newWindow	Nouvelle fenêtre
menu.newTab	Nouvel onglet
browse.actionOpenInNewWindow	Ouvrir dans une nouvelle fenêtre
browse.actionOpenInNewTab	Ouvrir dans un nouvel onglet
select.viewAs	Présentation
