# NextExplorer — Deutsch (de). key<TAB>value.
common.cancel	Abbrechen
settings.creditsLikeApp	Gefällt dir die App?
settings.creditsBuyCoffee	Spendier mir einen Kaffee ☕️
tipJar.title	Spendier mir einen Kaffee
tipJar.explanation	NextExplorer ist kostenlos und quelloffen. Wenn sie dir nützt, hilft ein kleines Trinkgeld, sie am Leben zu halten. Danke!
tipJar.toastThanks	Danke, dass du das Projekt unterstützt! 🙏
tipJar.errorLoad	Die Trinkgeld-Optionen konnten nicht geladen werden. Bitte versuche es erneut.
tipJar.errorPurchase	Der Kauf ist nicht durchgegangen. Bitte versuche es erneut.
tipJar.pending	Warten auf Genehmigung. Die Zahlung erfolgt, sobald sie genehmigt ist.
settings.sectionAccounts	Konten
settings.addAccount	Konto hinzufügen
settings.accountSignOut	Abmelden
settings.accountSignOutTitle	Abmelden?
settings.accountSignOutMessage	%@ auf diesem Gerät abmelden? Du musst dich erneut anmelden, um dieses Konto zu verwenden.
settings.accountLabel	%1$@, %2$@
settings.accountActiveLabel	%1$@, %2$@, aktives Konto
settings.badgeActive	Aktiv

# ---- offline ----
common.deselect	Abwählen
offline.sectionTitle	Offline
offline.settingsRow	Dateien für die Offline-Nutzung herunterladen
offline.footnote	Heruntergeladene Dateien lassen sich auch ohne Verbindung öffnen.
offline.available	%@ offline verfügbar
offline.removeRow	Offline-Dateien entfernen
offline.removeConfirmTitle	Offline-Dateien entfernen?
offline.removeConfirmMessage	Dadurch werden die für die Offline-Nutzung auf diesem Gerät gespeicherten Dateien gelöscht. Deine Dateien auf dem Server sind nicht betroffen.
offline.removeConfirm	Entfernen
offline.preparing	Wird vorbereitet…
offline.downloadingName	%@ wird heruntergeladen
offline.progressCount	%lld von %lld Dateien
offline.downloadFailed	Der Offline-Download konnte nicht abgeschlossen werden.
offline.selectionTitle	Für Offline herunterladen
offline.selectionEmpty	Dieser Ordner ist leer.
offline.selectionLoadFailed	Dieser Ordner konnte nicht geladen werden.
offline.selectionEstimate	Geschätzter Download
offline.selectionDownload	Herunterladen
offline.selectionInsufficientSpace	Nicht genügend freier Speicher auf diesem Gerät
offline.resyncRow	Offline-Dateien aktualisieren
offline.badgeAvailable	Offline verfügbar
offline.manageRow	Offline-Dateien verwalten
offline.manageTitle	Offline-Dateien
offline.manageEmpty	Nichts ist für die Offline-Nutzung heruntergeladen.
offline.preferOfflineToggle	Heruntergeladene Kopien abspielen
offline.preferOfflineSubtitle	Ein heruntergeladenes Video abspielen statt zu streamen, wenn es verfügbar ist.
offline.tunnelSpeedNote	Der Zugriff auf deinen Server über einen entfernten Tunnel kann Downloads verlangsamen. Verbinde dich für große Dateien mit demselben Netzwerk und verwende die lokale Adresse deines Servers.
menu.rateApp	NextExplorer bewerten …
menu.support	NextExplorer-Support
settings.sectionSupport	Support
settings.rowRateApp	NextExplorer bewerten
settings.rowSupport	Hilfe & Support
menu.refresh	Aktualisieren
select.tableView	Tabellenansicht
openWith.openIn	In %@ öffnen
openWith.openWith	Öffnen mit
openWith.viewAsText	Als Text anzeigen
openWith.failed	Diese Datei konnte nicht geöffnet werden.
browse.showInFinder	Im Finder zeigen
browse.actionCut	Ausschneiden
browse.clipboardCutOne	%@ zum Verschieben bereit
browse.clipboardCutMany	%lld Objekte zum Verschieben bereit
menu.enclosingFolder	Übergeordneter Ordner
common.more	Mehr
openWith.print	Drucken …
menu.newWindow	Neues Fenster
menu.newTab	Neuer Tab
browse.actionOpenInNewWindow	In neuem Fenster öffnen
browse.actionOpenInNewTab	In neuem Tab öffnen
select.viewAs	Darstellung
