# NextExplorer — Nederlands (nl). key<TAB>value.
common.cancel	Annuleren
offline.removeConfirmTitle	Offline bestanden verwijderen?
offline.removeConfirmMessage	Hiermee worden de voor offline gebruik opgeslagen bestanden op dit apparaat verwijderd. Je bestanden op de server worden niet gewijzigd.
offline.removeConfirm	Verwijderen
offline.preparing	Voorbereiden…
offline.downloadingName	%@ wordt gedownload
offline.progressCount	%lld van %lld bestanden
offline.downloadFailed	De offline download kon niet worden voltooid.
offline.selectionTitle	Downloaden voor offline
offline.selectionEmpty	Deze map is leeg.
offline.selectionLoadFailed	Deze map kon niet worden geladen.
offline.selectionEstimate	Geschatte download
offline.selectionDownload	Downloaden
offline.selectionInsufficientSpace	Onvoldoende vrije ruimte op dit apparaat
offline.resyncRow	Offline bestanden bijwerken
offline.badgeAvailable	Offline beschikbaar
offline.manageRow	Offline bestanden beheren
offline.manageTitle	Offline bestanden
offline.manageEmpty	Er is niets gedownload voor offline gebruik.
offline.preferOfflineToggle	Gedownloade kopieën afspelen
offline.preferOfflineSubtitle	Een gedownloade video gebruiken in plaats van streamen wanneer die beschikbaar is.
offline.tunnelSpeedNote	Toegang tot je server via een externe tunnel kan downloads vertragen. Verbind voor grote bestanden met hetzelfde netwerk en gebruik het lokale adres van je server.
