# NextExplorer — हिन्दी (hi). key<TAB>value.
common.cancel	रद्द करें
error.network	सर्वर तक नहीं पहुंच सके।
error.offline	आप ऑफ़लाइन हैं। इंटरनेट से कनेक्ट करें और पुनः प्रयास करें।
error.decoding	सर्वर ने अप्रत्याशित रूप से प्रतिक्रिया दी।
error.server	सर्वर त्रुटि (%lld)।
error.forbidden	आपके पास यह करने की अनुमति नहीं है।
changePassword.navigationTitle	पासवर्ड बदलें
changePassword.intro	अपने ईमेल पते से साइन इन करने के लिए उपयोग किया जाने वाला पासवर्ड बदलें। आप इस डिवाइस पर साइन इन रहेंगे।
changePassword.fieldCurrentPassword	वर्तमान पासवर्ड
changePassword.fieldNewPasswordLabel	नया पासवर्ड
changePassword.fieldConfirmPasswordLabel	नए पासवर्ड की पुष्टि करें
changePassword.fieldConfirmPassword	नया पासवर्ड फिर से दर्ज करें
changePassword.fieldNewPasswordPrompt	कम से कम %lld अक्षर
changePassword.submitButton	पासवर्ड अपडेट करें
changePassword.success	आपका पासवर्ड अपडेट कर दिया गया है।
changePassword.errorMinLength	कम से कम %lld अक्षर उपयोग करें।
changePassword.errorMismatch	पासवर्ड मेल नहीं खाते।
login.portHint	एक पोर्ट जोड़ें (उदा. :3000)। अधिकांश होमलैब सर्वर सादे पोर्ट 80 पर नहीं सुनते।
login.errorInvalidServer	एक मान्य सर्वर पता दर्ज करें।
login.errorInvalidEmail	एक मान्य ईमेल पता दर्ज करें।
login.errorInvalidCredentials	गलत उपयोगकर्ता नाम या पासवर्ड।
login.errorSessionExpired	आपका सत्र समाप्त हो गया। कृपया फिर से साइन इन करें।
login.errorIncomplete	साइन-इन पूरा नहीं हुआ। कृपया पुनः प्रयास करें।
login.errorUnreachable	उस सर्वर तक नहीं पहुंच सके। पता जांचें और पुनः प्रयास करें।
login.errorUnexpectedResponse	सर्वर से अप्रत्याशित प्रतिक्रिया।
login.errorKeychain	इस डिवाइस पर आपका सत्र सहेज नहीं सके।
login.errorDecoding	सर्वर ने अप्रत्याशित रूप से प्रतिक्रिया दी। पता जांचें और पुनः प्रयास करें।
login.errorNoLocalAuth	इस सर्वर पर उपयोगकर्ता नाम/पासवर्ड साइन-इन सक्षम नहीं है।
login.errorRateLimited	बहुत अधिक प्रयास। कृपया कुछ मिनट प्रतीक्षा करें और पुनः प्रयास करें।
login.errorServer	सर्वर में समस्या आई (त्रुटि %lld)। कृपया बाद में पुनः प्रयास करें।
browse.nameErrorReserved	वह नाम अनुमत नहीं है।
browse.nameErrorSeparators	नाम में / या \ नहीं हो सकता।
browse.searchMatchLine	पंक्ति %1$lld: %2$@
browse.searchMatchLineLabel	पंक्ति %lld
createShare.errorPasswordRequired	एक पासवर्ड दर्ज करें या पासवर्ड सुरक्षा बंद करें।
filter.sheetTitle	प्रकार के अनुसार फ़िल्टर करें
filter.button	फ़िल्टर
filter.all	सभी प्रकार
filter.folders	फ़ोल्डर
filter.images	छवियां
filter.videos	वीडियो
filter.audio	ऑडियो
filter.documents	दस्तावेज़
filter.archives	संग्रह
filter.other	अन्य
language.navigationTitle	भाषा
language.systemDefault	सिस्टम डिफ़ॉल्ट
language.systemDefaultSubtitle	अपने डिवाइस की भाषा का पालन करें
